Day,Volume_in_Mn,Value_in_Cr
"December 5, 2023",385.45,"68,578.17"
"December 6, 2023",383.81,"64,625.98"
"December 7, 2023",383.95,"63,698.48"
"December 8, 2023",398.26,"63,578.40"
"December 9, 2023",399.14,"59,877.09"
"December 10, 2023",391.7,"49,895.18"
"December 11, 2023",391.09,"65,689.66"
"December 12, 2023",395.65,"62,987.05"
"December 13, 2023",391.26,"61,418.12"
"December 14, 2023",387.6,"59,486.48"
"December 15, 2023",384.25,"58,430.66"
"December 16, 2023",389.05,"55,199.40"
"December 17, 2023",383.69,"43,870.34"
"December 18, 2023",382.64,"58,406.97"
"December 19, 2023",380.98,"56,788.00"
"December 20, 2023",388.89,"60,562.68"
"December 21, 2023",388.33,"57,778.84"
"December 22, 2023",388.55,"56,458.87"
"December 23, 2023",382.13,"52,084.16"
"December 24, 2023",374.2,"42,244.26"
"December 25, 2023",365.79,"45,953.24"
"December 26, 2023",372.71,"55,758.73"
"December 27, 2023",374.2,"56,459.53"
"December 28, 2023",371.9,"57,227.27"
"December 29, 2023",381.25,"61,351.22"
"December 30, 2023",399.76,"66,002.11"
"December 31, 2023",421.04,"54,242.21"
